source,interaction,target,weight,timepoint,model
LEF1,1,ALX4,100,T8,PRKACA
LRRK2,1,AKT1,0,T8,PRKACA
MAPK14,1,FOXC1,100,T8,PRKACA
MAX,1,MGA,100,T8,PRKACA
NEK6,1,FOXJ2,100,T8,PRKACA
NOTCH1,1,SMAD1,0,T8,PRKACA
PARP1,-1,KDM5B,100,T8,PRKACA
PRKACA,-1,GSK3B,0,T8,PRKACA
PRKACA,-1,LRRK2,0,T8,PRKACA
PRKACA,1,CREB1,100,T8,PRKACA
PRKACA,1,CTNNB1,0,T8,PRKACA
PRKACA,1,E2F1,100,T8,PRKACA
PRKACA,1,FYN,0,T8,PRKACA
PRKACA,1,LATS1,0,T8,PRKACA
PRKACA,1,PARP1,100,T8,PRKACA
PRKACA,1,SGK1,100,T8,PRKACA
PRKACA,1,SRC,0,T8,PRKACA
RB1,-1,YY1,100,T8,PRKACA
SGK1,-1,FOXO1,100,T8,PRKACA
SGK1,-1,FOXO3,100,T8,PRKACA
SGK1,1,SP1,100,T8,PRKACA
SIRT1,-1,FOXO3,0,T8,PRKACA
SIRT1,1,FOXO1,0,T8,PRKACA
SIRT1,1,FOXO4,0,T8,PRKACA
SMAD2,1,SP1,0,T8,PRKACA
SMAD3,1,FOXO1,0,T8,PRKACA
SMAD3,1,LEF1,100,T8,PRKACA
SMAD3,1,MAX,100,T8,PRKACA
SMAD6,1,SMAD1,100,T8,PRKACA
SMAD6,1,SMURF1,0,T8,PRKACA
SMARCA4,1,GADD45A,100,T8,PRKACA
SMURF1,-1,NFIC,0,T8,PRKACA
SP1,1,TBX21,100,T8,PRKACA
SRC,-1,YY1,0,T8,PRKACA
TCL1A,1,AKT1,100,T8,PRKACA
TCL1A,1,AKT3,100,T8,PRKACA
TRAF6,1,AKT3,0,T8,PRKACA
YY1,-1,NOTCH1,0,T8,PRKACA
