timepoint,go_id,n_significant_degs,total_hit_count,total_percentage_of_degs,genes,term,family,minimum_fdr
T8,GO:0141156,4788,3,0.06265664160401,MC1R;PRKAR1B;SCN11A,cAMP/PKA signal transduction,Second-messenger signaling,0.869825898800121
T8,GO:0060019,4788,4,0.0835421888053467,FGF10;GPR157;HES1;LEF1,Radial glial cell differentiation,Neural progenitor biology,0.621102386540766
T8,GO:1905515,4788,14,0.292397660818713,BBS2;CEP135;CEP350;IFT140;IFT172;IFT80;INTU;KCNF1;KCNJ10;MAP4;NPHP3;PCM1;SEPTIN9;VANGL2,Non-motile cilium assembly,Primary cilium,0.214667542512129
T8,GO:0019933,4788,15,0.31328320802005,ADCY2;ADCYAP1R1;ADGRG6;ADM;ATF1;CAP1;DGKQ;GIPR;GLP1R;MGRN1;PDE10A;PDE4B;PDE7A;RAPGEF2;SOX9,cAMP-mediated signaling,Second-messenger signaling,0.617934145727642
T8,GO:0060563,4788,16,0.334168755221387,ASCL1;BCCIP;CEBPB;CTNNB1;HES1;IFT80;INSM1;IPO7;LEF1;MAP1B;MSX1;POU3F2;SOX11;SOX4;TGFB1;TUBB,Neuroepithelial cell differentiation,Neural progenitor biology,0.214667542512129
T8,GO:0042073,4788,18,0.37593984962406,CILK1;DYNC2I1;DYNLL1;IFT140;IFT172;IFT20;IFT70A;IFT70B;IFT80;INTU;LCA5;PCM1;RABL2B;RPGR;SSNA1;TTC21B;WDR19;WDR35,Intraciliary transport,Primary cilium,0.00769488793253943
T8,GO:0061512,4788,24,0.50125313283208,ATP6V1D;CCDC66;CCDC88A;CROCC;DZIP1;EHD1;FSIP2;GAS8;GDI2;GSK3B;IFT140;IFT20;IFT80;RAB11A;RAB11FIP3;RAB29;RAB3IP;RAB8A;TCTN2;TTC21B;TULP3;WDR19;WDR35;ZNF423,Protein localization to cilium,Primary cilium,0.0528019768529485
T8,GO:2000177,4788,32,0.668337510442774,ADGRG1;APPL2;ASCL1;ASPM;BCAN;BTG2;CDON;CTNNB1;FOXO1;FOXO3;FZD9;GNAI2;HAPLN2;HAPLN3;HIF1A;ID2;ID4;INSM1;LIMS2;LRP2;NES;NF1;PROX1;PTBP2;PTN;SHH;SIRT2;SMARCD3;SPINT2;TGFB1;TP53;VEGFA,Regulation of neural precursor cell proliferation,Neural progenitor biology,0.0626945957951912
T8,GO:0061351,4788,63,1.31578947368421,ADGRG1;APPL2;ARHGEF2;ARX;ASCL1;ASPM;ATF5;BCAN;BTG2;CDON;CEP120;CTNNB1;DAGLB;DIXDC1;EPHB1;FGFR2;FOXO1;FOXO3;FRS2;FZD9;GBX2;GNAI2;HAPLN2;HAPLN3;HIF1A;HOOK3;ID2;ID4;IFT20;INSM1;KIF14;LEF1;LIMS2;LNX2;LRP2;MELK;MIOS;NBN;NDE1;NES;NF1;NFIB;NUMB;PAFAH1B1;PCM1;POU3F2;PROX1;PSMG1;PTBP2;PTN;RAB10;RARB;RERE;RORA;SHH;SIRT2;SMARCD3;SOX5;SPINT2;TEAD3;TGFB1;TP53;VEGFA,Neural precursor cell proliferation,Neural progenitor biology,0.000125144482572919
T8,GO:0044782,4788,117,2.44360902255639,ABLIM1;ARHGAP35;ARMC9;ATP6V0D1;ATP6V1D;BBS2;BBS5;CBY1;CCDC57;CCDC66;CCDC88A;CDC14A;CDC14B;CDKL5;CELSR2;CEP120;CEP135;CEP164;CEP350;CEP70;CEP97;CFAP298;CILK1;CIMAP3;CROCC;CYLD;DCDC2;DCX;DNAAF1;DNAAF2;DNAAF5;DNAI3;DNALI1;DNHD1;DYNC2I1;DYNLL1;DZIP1;E2F4;EHD1;EHD3;FAM161B;FHDC1;FOXJ1;FSIP2;GALNT11;GAS8;GBF1;GDI2;GSK3B;GSN;HDAC6;IFT140;IFT172;IFT20;IFT70A;IFT70B;IFT80;INTU;IQCB1;KCNF1;KCNJ10;KCTD17;KIAA0586;KIF24;KIF3A;LAMA5;LCA5;LRRC61;MACIR;MAP4;MPHOSPH9;NECTIN2;NHERF1;NPHP3;ODAD3;ONECUT2;PCM1;PCNT;PIERCE2;PKD2;RAB11A;RAB11FIP3;RAB23;RAB3IP;RAB8A;RABL2B;RFX3;RO60;RPGR;RRP7A;RTTN;SCLT1;SEPTIN9;SNAP29;SPAG6;SSNA1;STK36;SYNE2;TCTN2;TCTN3;TMEM250;TPGS1;TRIM32;TSGA10IP;TTBK2;TTC17;TTC21B;TTC39C;UNC119B;USP9X;VANGL2;VDAC3;WDR11;WDR19;WDR35;WDR44;WWTR1,Cilium organization,Primary cilium,0.0168900034183175
